111
(63, 0)
(63, 1)
(63, 2)
(63, 3)
(63, 4)
(63, 5)
(63, 6)
(63, 7)
(63, 8)
(63, 9)
(63, 10)
(63, 11)
(63, 12)
(63, 13)
(63, 14)
(62, 14)
(62, 15)
(62, 16)
(62, 17)
(62, 18)
(62, 19)
(62, 20)
(62, 21)
(62, 22)
(63, 22)
(64, 22)
(64, 23)
(64, 24)
(64, 25)
(64, 26)
(65, 26)
(66, 26)
(66, 27)
(66, 28)
(66, 29)
(66, 30)
(66, 31)
(66, 32)
(66, 33)
(66, 34)
(66, 35)
(66, 36)
(66, 37)
(66, 38)
(66, 39)
(66, 40)
(66, 41)
(66, 42)
(66, 43)
(67, 43)
(68, 43)
(69, 43)
(69, 44)
(69, 45)
(69, 46)
(69, 47)
(69, 48)
(69, 49)
(69, 50)
(69, 51)
(69, 52)
(69, 53)
(69, 54)
(69, 55)
(69, 56)
(69, 57)
(69, 58)
(69, 59)
(69, 60)
(68, 60)
(68, 61)
(68, 62)
(68, 63)
(68, 64)
(68, 65)
(68, 66)
(68, 67)
(68, 68)
(68, 69)
(68, 70)
(68, 71)
(68, 72)
(68, 73)
(69, 73)
(70, 73)
(70, 74)
(71, 74)
(71, 75)
(71, 76)
(71, 77)
(71, 78)
(71, 79)
(71, 80)
(71, 81)
(71, 82)
(71, 83)
(71, 84)
(71, 85)
(71, 86)
(71, 87)
(71, 88)
(71, 89)
(71, 90)
(71, 91)
(71, 92)
(71, 93)
(71, 94)
(71, 95)
(71, 96)
(71, 97)
(71, 98)
(71, 99)
